Index,Error_Type,Value
50137,TCB,-39.71
48320,TCB,-39.71
49870,TCB,-39.71
49164,TCB,-39.71
48920,TCB,-39.71
49861,TCB,-39.71
48848,TCB,-39.71
48410,TCB,-39.71
48503,TCB,-39.71
48119,TCB,-39.71
48311,TCB,-39.71
50083,TCB,-39.71
48748,TCB,-39.71
47925,TCB,-39.71
48824,TCB,-39.71
48661,TCB,-39.71
49951,TCB,-39.71
48793,TCB,-39.71
50377,TCB,-39.71
48608,TCB,-39.71
48656,TCB,-39.71
49099,TCB,-39.71
49986,TCB,-39.71
50190,TCB,-39.71
49940,TCB,-39.71
50280,TCB,-39.71
48138,TCB,-39.71
50343,TCB,-39.71
49090,TCB,-39.71
48888,TCB,-39.71
48260,TCB,-39.71
49561,TCB,-39.71
49670,TCB,-39.71
48161,TCB,-39.71
50084,TCB,-39.71
48365,TCB,-39.71
47901,TCB,-39.71
49865,TCB,-39.71
49004,TCB,-39.71
50018,TCB,-39.71
49866,TCB,-39.71
49621,TCB,-39.71
49804,TCB,-39.71
48351,TCB,-39.71
48822,TCB,-39.71
49319,TCB,-39.71
49601,TCB,-39.71
49894,TCB,-39.71
48682,TCB,-39.71
49667,TCB,-39.71
50385,TCB,-39.71
50112,TCB,-39.71
47885,TCB,-39.71
48705,TCB,-39.71
48248,TCB,-39.71
49448,TCB,-39.71
48934,TCB,-39.71
49177,TCB,-39.71
48619,TCB,-39.71
47956,TCB,-39.71
50278,TCB,-39.71
50241,TCB,-39.71
49232,TCB,-39.71
49790,TCB,-39.71
47921,TCB,-39.71
48629,TCB,-39.71
48750,TCB,-39.71
48803,TCB,-39.71
48698,TCB,-39.71
49236,TCB,-39.71
47891,TCB,-39.71
49803,TCB,-39.71
48756,TCB,-39.71
48828,TCB,-39.71
48559,TCB,-39.71
49304,TCB,-39.71
48701,TCB,-39.71
48317,TCB,-39.71
48068,TCB,-39.71
49592,TCB,-39.71
48517,TCB,-39.71
47874,TCB,-39.71
49457,TCB,-39.71
48893,TCB,-39.71
48014,TCB,-39.71
49173,TCB,-39.71
49617,TCB,-39.71
49311,TCB,-39.71
48498,TCB,-39.71
48995,TCB,-39.71
48777,TCB,-39.71
49763,TCB,-39.71
49054,TCB,-39.71
48834,TCB,-39.71
48145,TCB,-39.71
49370,TCB,-39.71
49339,TCB,-39.71
48201,TCB,-39.71
50236,TCB,-39.71
50288,TCB,-39.71
48570,TCB,-39.71
47827,TCB,-39.71
49336,TCB,-39.71
49744,TCB,-39.71
49727,TCB,-39.71
47909,TCB,-39.71
48143,TCB,-39.71
48961,TCB,-39.71
50181,TCB,-39.71
48379,TCB,-39.71
50253,TCB,-39.71
49875,TCB,-39.71
48187,TCB,-39.71
49439,TCB,-39.71
49115,TCB,-39.71
48171,TCB,-39.71
49138,TCB,-39.71
49459,TCB,-39.71
49983,TCB,-39.71
48668,TCB,-39.71
50235,TCB,-39.71
48846,TCB,-39.71
48794,TCB,-39.71
48233,TCB,-39.71
49200,TCB,-39.71
49315,TCB,-39.71
47848,TCB,-39.71
49534,TCB,-39.71
48710,TCB,-39.71
50319,TCB,-39.71
49733,TCB,-39.71
49917,TCB,-39.71
49034,TCB,-39.71
49771,TCB,-39.71
50282,TCB,-39.71
48508,TCB,-39.71
