Index,Error_Type,Value
49289,TCB,-39.71
48143,TCB,-39.71
49367,TCB,-39.71
49758,TCB,-39.71
49607,TCB,-39.71
49822,TCB,-39.71
50396,TCB,-39.71
50322,TCB,-39.71
48531,TCB,-39.71
50140,TCB,-39.71
49710,TCB,-39.71
48279,TCB,-39.71
50358,TCB,-39.71
47944,TCB,-39.71
49480,TCB,-39.71
49240,TCB,-39.71
49120,TCB,-39.71
49810,TCB,-39.71
49853,TCB,-39.71
49408,TCB,-39.71
48724,TCB,-39.71
49400,TCB,-39.71
48711,TCB,-39.71
49648,TCB,-39.71
48911,TCB,-39.71
48374,TCB,-39.71
49923,TCB,-39.71
48495,TCB,-39.71
48570,TCB,-39.71
50261,TCB,-39.71
48954,TCB,-39.71
48643,TCB,-39.71
50119,TCB,-39.71
48064,TCB,-39.71
49845,TCB,-39.71
49274,TCB,-39.71
50382,TCB,-39.71
47991,TCB,-39.71
47993,TCB,-39.71
48817,TCB,-39.71
48136,TCB,-39.71
50109,TCB,-39.71
50281,TCB,-39.71
50250,TCB,-39.71
49183,TCB,-39.71
49920,TCB,-39.71
48008,TCB,-39.71
49264,TCB,-39.71
48138,TCB,-39.71
50237,TCB,-39.71
48951,TCB,-39.71
49957,TCB,-39.71
49718,TCB,-39.71
49700,TCB,-39.71
48422,TCB,-39.71
50381,TCB,-39.71
49075,TCB,-39.71
49100,TCB,-39.71
48147,TCB,-39.71
49482,TCB,-39.71
49427,TCB,-39.71
48399,TCB,-39.71
49614,TCB,-39.71
49037,TCB,-39.71
49907,TCB,-39.71
48436,TCB,-39.71
48774,TCB,-39.71
50293,TCB,-39.71
49194,TCB,-39.71
50342,TCB,-39.71
50289,TCB,-39.71
48111,TCB,-39.71
49419,TCB,-39.71
48471,TCB,-39.71
49890,TCB,-39.71
49830,TCB,-39.71
48059,TCB,-39.71
48880,TCB,-39.71
49724,TCB,-39.71
49210,TCB,-39.71
49536,TCB,-39.71
48373,TCB,-39.71
49492,TCB,-39.71
48099,TCB,-39.71
48969,TCB,-39.71
50146,TCB,-39.71
49034,TCB,-39.71
48160,TCB,-39.71
50157,TCB,-39.71
48007,TCB,-39.71
49965,TCB,-39.71
48874,TCB,-39.71
50265,TCB,-39.71
50045,TCB,-39.71
49496,TCB,-39.71
48245,TCB,-39.71
47833,TCB,-39.71
49567,TCB,-39.71
48451,TCB,-39.71
48251,TCB,-39.71
49000,TCB,-39.71
48417,TCB,-39.71
48506,TCB,-39.71
48991,TCB,-39.71
49186,TCB,-39.71
